,Prix (€),Marque,Taille,Etat,Matière,Localisation,Option de paiement,Vues,Date d'ajout,Département,Libellé du département,Nbvoix,%popent,%popvot
340,7.0,ICON,W32 | FR 42,Très bon état,,Berre-l'Étang,Carte bancaire,106,"12/27/2023, 10:16:05 AM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
341,5.0,Jack & Jones,W32 | FR 42,Très bon état,,Guiler-sur-Goyen,Carte bancaire,125,"12/24/2023, 10:42:36 AM",29,Finistère,118179.0,16.59,32.06
342,5.0,Kiliwatch,W32 | FR 42,Neuf sans étiquette,,Camaret-sur-Aigues,Carte bancaire,0,"12/29/2023, 12:39:04 PM",84,Vaucluse,49879.0,12.06,26.27
343,6.0,,W34 | FR 44,Très bon état,,Lamonzie-Saint-Martin,Carte bancaire,13,"12/28/2023, 5:49:40 PM",24,Dordogne,43986.0,13.77,25.77
344,5.0,Dsquared2,W23 | FR 32,Satisfaisant,,Carpiquet,Carte bancaire,67,"12/28/2023, 2:35:59 PM",14,Calvados,75199.0,14.61,29.09
345,8.0,Quiksilver,W36 | FR 46,Très bon état,Coton,Saint-Germain,Carte bancaire,2,"12/26/2023, 8:31:44 AM",7,Ardèche,24851.0,9.68,18.490000000000002
346,6.0,Pull & Bear,W32 | FR 42,Très bon état,,Pardines,Carte bancaire,43,"12/28/2023, 8:12:34 PM",63,Puy-de-Dôme,92396.0,19.66,39.02
347,5.0,Bonobo,W38 | FR 48,Très bon état,,Plaisance-du-Touch,Carte bancaire,1,"12/29/2023, 11:48:27 AM",31,Haute-Garonne,167327.0,17.84,34.05
348,5.0,Urban Rags,W30 | FR 40,Très bon état,"Coton, Polyes",Broye-Aubigney-Montseugny,Carte bancaire,19,"12/27/2023, 9:47:41 AM",70,Haute-Saône,19043.0,10.69,21.29
349,5.0,ICON,W23 | FR 32,Très bon état,,Quimper,Carte bancaire,48,"12/28/2023, 4:13:03 PM",29,Finistère,118179.0,16.59,32.06
350,7.0,Wrangler,W30 | FR 40,Neuf sans étiquette,,Drucat,Carte bancaire,12,"12/29/2023, 10:39:34 AM",80,Somme,52514.0,12.78,26.61
351,6.0,Celio,W40 | FR 50,Très bon état,Coton,Saint-Geours-de-Maremne,Carte bancaire,10,"12/28/2023, 2:19:04 PM",40,Landes,55420.0,16.74,31.939999999999998
352,5.0,Sixth Sense,W48 | FR 58,Bon état,,Blainville-sur-l'Eau,Carte bancaire,7,"12/28/2023, 1:36:41 PM",54,Meurthe-et-Moselle,56808.0,11.5,25.669999999999998
353,5.0,Firetrap,W33 | FR 42,Bon état,,Meaux,Carte bancaire,0,"12/29/2023, 1:11:44 PM",77,Seine-et-Marne,126188.0,13.95,32.19
354,8.0,Bershka,W31 | FR 40,Bon état,"Coton, V",Guissény,Carte bancaire,45,"12/28/2023, 11:05:33 AM",29,Finistère,118179.0,16.59,32.06
355,5.0,Kiabi,W40 | FR 50,Très bon état,,La Bazoge,Carte bancaire,4,"12/29/2023, 10:13:26 AM",50,Manche,48914.0,12.72,25.990000000000002
356,6.0,Creeks,W36 | FR 46,Très bon état,,Lattes,Carte bancaire,9,"12/28/2023, 2:42:21 PM",34,Hérault,119495.0,14.02,29.759999999999998
357,10.0,Jack & Jones,W33 | FR 42,Neuf sans étiquette,,Saint-Denis-du-Payré,Carte bancaire,5,"12/29/2023, 12:34:58 PM",85,Vendée,64225.0,11.62,24.23
358,5.0,Pull & Bear,W28 | FR 38,Très bon état,Denim,Saint-Bernard,Carte bancaire,0,"12/29/2023, 11:51:59 AM",1,Ain,51895.0,11.78,25.04
359,8.0,G-Star,W32 | FR 42,Très bon état,,Chamalières,Carte bancaire,20,"12/29/2023, 10:06:25 AM",63,Puy-de-Dôme,92396.0,19.66,39.02
360,6.0,Devred,W33 | FR 42,Très bon état,,Bussières,Carte bancaire,9,"12/28/2023, 10:50:59 AM",21,Côte-d'Or,46366.0,12.59,25.119999999999997
361,6.0,Red Bridge,W30 | FR 40,Très bon état,Coton,Hérouville-Saint-Clair,Carte bancaire,2,"12/29/2023, 12:19:55 PM",14,Calvados,75199.0,14.61,29.09
362,5.0,Celio,W33 | FR 42,Très bon état,,Meaux,Carte bancaire,0,"12/29/2023, 1:13:52 PM",77,Seine-et-Marne,126188.0,13.95,32.19
363,8.0,,W23 | FR 32,Très bon état,,Hombleux,Carte bancaire,0,"12/29/2023, 12:40:10 PM",80,Somme,52514.0,12.78,26.61
364,5.0,Ritchie,W30 | FR 40,Très bon état,"Coton, Polyes",Aveizieux,Carte bancaire,1,"12/29/2023, 12:04:03 PM",42,Loire,60447.0,11.71,24.85
365,5.0,Bonobo,W26 | FR 36,Neuf sans étiquette,,Saint-Laurs,Carte bancaire,7,"12/28/2023, 10:16:46 AM",79,Deux-Sèvres,40743.0,14.860000000000001,30.64
366,5.0,Wrangler,W31 | FR 40,Très bon état,"Coton, Polyes",Aveizieux,Carte bancaire,2,"12/29/2023, 12:09:31 PM",42,Loire,60447.0,11.71,24.85
367,6.0,Jules,W32 | FR 42,Très bon état,,Saint-Nicolas-de-la-Taille,Carte bancaire,1,"12/29/2023, 12:21:02 PM",76,Seine-Maritime,134442.0,15.23,31.92
368,5.0,SMOG,W36 | FR 46,Bon état,,Le Mans,Carte bancaire,5,"12/28/2023, 8:43:05 PM",72,Sarthe,46201.0,11.209999999999999,25.23
369,6.0,Pull & Bear,W32 | FR 42,Très bon état,,Perros-Guirec,Carte bancaire,8,"12/27/2023, 1:35:41 PM",22,Côtes-d'Armor,72743.0,15.37,28.380000000000003
370,5.0,districenter,M,Très bon état,,Saint-Jean-de-Maurienne,Carte bancaire,5,"12/28/2023, 5:26:51 PM",73,Savoie,44566.0,13.84,28.009999999999998
371,5.0,Teddy Smith,S,Bon état,,Olivet,Carte bancaire,4,"12/27/2023, 8:55:42 PM",45,Loiret,55327.0,12.040000000000001,24.99
372,5.0,GovdenimM5888,W34 | FR 44,Très bon état,Coton,Segonzac,Carte bancaire,25,"12/27/2023, 4:55:37 PM",16,Charente,32282.0,12.49,25.59
373,8.0,NEW Stone,W32 | FR 42,Bon état,,Sornay,Carte bancaire,4,"12/27/2023, 4:28:43 PM",70,Haute-Saône,19043.0,10.69,21.29
374,15.0,Levi's,W30 | FR 40,Très bon état,,Paris,Carte bancaire,125,"12/28/2023, 10:13:59 PM",75,Paris,298944.0,21.94,40.16
375,6.0,Kaporal,W32 | FR 42,Très bon état,Coton,Serqueux,Carte bancaire,81,"12/26/2023, 8:43:06 PM",52,Haute-Marne,,,
376,5.0,Zara,M,Neuf sans étiquette,,Carnoux-en-Provence,Carte bancaire,22,"12/26/2023, 9:42:49 PM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
377,5.0,Uniqlo,W30 | FR 40,Neuf sans étiquette,,Levallois-Perret,Carte bancaire,36,"12/29/2023, 1:02:50 AM",92,Hauts-de-Seine,165750.0,16.51,31.63
378,5.0,Zara,W28 | FR 38,Bon état,,Lignan-sur-Orb,Carte bancaire,0,"12/29/2023, 12:22:57 PM",34,Hérault,119495.0,14.02,29.759999999999998
379,6.0,Jack & Jones,W31 | FR 40,Bon état,Coton,Le Thor,Carte bancaire,16,"12/26/2023, 3:22:33 PM",84,Vaucluse,49879.0,12.06,26.27
380,5.0,Celio,W34 | FR 44,Très bon état,,Mouzon,Carte bancaire,36,"12/26/2023, 10:00:47 PM",8,Ardennes,16083.0,8.6,19.11
381,5.0,Sixth June,W33 | FR 42,Bon état,,Les Pennes-Mirabeau,Carte bancaire,6,"12/27/2023, 10:53:39 AM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
382,5.0,Bonobo,W30 | FR 40,Très bon état,Coton,Saint-Mihiel,Carte bancaire,17,"12/27/2023, 6:34:12 PM",55,Meuse,12362.0,9.15,19.79
383,8.0,Diesel,W34 | FR 44,Bon état,,Bellegarde,Carte bancaire,55,"12/27/2023, 2:20:24 PM",30,Gard,73880.0,13.25,28.74
384,10.0,Levi's,W38 | FR 48,Très bon état,,Le Chambon-Feugerolles,Carte bancaire,21,"12/28/2023, 1:05:01 PM",42,Loire,60447.0,11.71,24.85
385,9.0,Lee Cooper,W34 | FR 44,Très bon état,"Coton, Polyes",Lyon,Carte bancaire,13,"12/28/2023, 4:12:15 PM",69,Rhône,187775.0,15.75,31.479999999999997
386,10.0,Nike,L,Très bon état,,Saint-Jean-Lasseille,Carte bancaire,26,"12/29/2023, 10:06:33 AM",66,Pyrénées-Orientales,40475.0,11.14,23.82
387,5.0,Zara,W31 | FR 40,Très bon état,,Feignies,Carte bancaire,0,"12/29/2023, 12:24:43 PM",59,Nord,232470.0,12.77,29.29
388,5.0,Bonobo,W32 | FR 42,Très bon état,"Coton, Polyes",Fondettes,Carte bancaire,11,"12/28/2023, 6:08:18 PM",37,Indre-et-Loire,70126.0,15.86,31.799999999999997
389,5.0,Jack & Jones,W31 | FR 40,Neuf sans étiquette,,Achicourt,Carte bancaire,10,"12/28/2023, 11:02:03 AM",62,Pas-de-Calais,111504.0,10.17,22.5
390,5.0,Bershka,W31 | FR 40,Très bon état,,Feignies,Carte bancaire,0,"12/29/2023, 12:20:44 PM",59,Nord,232470.0,12.77,29.29
391,5.0,Bershka,W31 | FR 40,Très bon état,,Feignies,Carte bancaire,0,"12/29/2023, 12:19:24 PM",59,Nord,232470.0,12.77,29.29
392,5.0,Shein,W23 | FR 32,Neuf avec étiquette,Coton,Fondettes,Carte bancaire,3,"12/28/2023, 9:11:26 AM",37,Indre-et-Loire,70126.0,15.86,31.799999999999997
393,5.0,Pull & Bear,W32 | FR 42,Bon état,,Perros-Guirec,Carte bancaire,1,"12/27/2023, 1:38:18 PM",22,Côtes-d'Armor,72743.0,15.37,28.380000000000003
394,6.0,,W34 | FR 44,Très bon état,,Tourny,Carte bancaire,14,"12/28/2023, 6:19:17 PM",27,Eure,53761.0,12.389999999999999,25.92
395,5.0,Zara,W32 | FR 42,Satisfaisant,,Riantec,Carte bancaire,2,"12/29/2023, 10:43:33 AM",56,Morbihan,82148.0,13.440000000000001,26.09
396,6.0,Zara,W30 | FR 40,Très bon état,,Feignies,Carte bancaire,1,"12/29/2023, 11:39:14 AM",59,Nord,232470.0,12.77,29.29
397,5.0,Leeyo Jeans,W28 | FR 38,Très bon état,,Buigny-Saint-Maclou,Carte bancaire,1,"12/29/2023, 12:51:07 PM",80,Somme,52514.0,12.78,26.61
398,5.0,Casual by Gémo,W38 | FR 48,Neuf sans étiquette,,Fougueyrolles,Carte bancaire,1,"12/29/2023, 11:09:58 AM",24,Dordogne,43986.0,13.77,25.77
399,5.0,BZB,W31 | FR 40,Très bon état,,Charnoz-sur-Ain,Carte bancaire,28,"12/28/2023, 3:35:01 PM",1,Ain,51895.0,11.78,25.04
400,10.0,Redskins,W33 | FR 42,Neuf avec étiquette,,Arles,Carte bancaire,2,"12/29/2023, 12:27:06 PM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
401,5.0,Pull & Bear,W26 | FR 36,Très bon état,,Cabriès,Carte bancaire,124,"12/28/2023, 6:55:30 PM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
402,5.0,Openfield,W36 | FR 46,Très bon état,,Seichamps,Carte bancaire,129,"12/28/2023, 6:50:32 AM",54,Meurthe-et-Moselle,56808.0,11.5,25.669999999999998
403,5.0,Pull & Bear,W27 | FR 36,Neuf sans étiquette,,Paris,Carte bancaire,0,"12/29/2023, 1:03:43 PM",75,Paris,298944.0,21.94,40.16
404,5.0,Kaporal,W30 | FR 40,Très bon état,,Meaux,Carte bancaire,0,"12/29/2023, 1:16:04 PM",77,Seine-et-Marne,126188.0,13.95,32.19
405,10.0,RAW,W25 | FR 34,Neuf sans étiquette,,Paris,Carte bancaire,0,"12/29/2023, 12:15:38 PM",75,Paris,298944.0,21.94,40.16
406,5.0,John H,W24 | FR 34,Neuf sans étiquette,"Coton, Élasthanne",Villejuif,Carte bancaire,0,"12/29/2023, 11:46:27 AM",94,Val-de-Marne,150867.0,18.8,40.26
407,7.0,ICON,W32 | FR 42,Très bon état,,Berre-l'Étang,Carte bancaire,107,"12/27/2023, 10:16:05 AM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
408,5.0,Jack & Jones,W32 | FR 42,Très bon état,,Guiler-sur-Goyen,Carte bancaire,125,"12/24/2023, 10:42:36 AM",29,Finistère,118179.0,16.59,32.06
409,5.0,Kiliwatch,W32 | FR 42,Neuf sans étiquette,,Camaret-sur-Aigues,Carte bancaire,0,"12/29/2023, 12:39:04 PM",84,Vaucluse,49879.0,12.06,26.27
410,6.0,,W34 | FR 44,Très bon état,,Lamonzie-Saint-Martin,Carte bancaire,13,"12/28/2023, 5:49:40 PM",24,Dordogne,43986.0,13.77,25.77
411,5.0,Dsquared2,W23 | FR 32,Satisfaisant,,Carpiquet,Carte bancaire,67,"12/28/2023, 2:35:59 PM",14,Calvados,75199.0,14.61,29.09
412,8.0,Quiksilver,W36 | FR 46,Très bon état,Coton,Saint-Germain,Carte bancaire,2,"12/26/2023, 8:31:44 AM",7,Ardèche,24851.0,9.68,18.490000000000002
413,6.0,Pull & Bear,W32 | FR 42,Très bon état,,Pardines,Carte bancaire,43,"12/28/2023, 8:12:34 PM",63,Puy-de-Dôme,92396.0,19.66,39.02
414,5.0,Urban Rags,W30 | FR 40,Très bon état,"Coton, Polyes",Broye-Aubigney-Montseugny,Carte bancaire,19,"12/27/2023, 9:47:41 AM",70,Haute-Saône,19043.0,10.69,21.29
415,5.0,ICON,W23 | FR 32,Très bon état,,Quimper,Carte bancaire,48,"12/28/2023, 4:13:03 PM",29,Finistère,118179.0,16.59,32.06
416,7.0,Wrangler,W30 | FR 40,Neuf sans étiquette,,Drucat,Carte bancaire,12,"12/29/2023, 10:39:34 AM",80,Somme,52514.0,12.78,26.61
417,6.0,Celio,W40 | FR 50,Très bon état,Coton,Saint-Geours-de-Maremne,Carte bancaire,10,"12/28/2023, 2:19:04 PM",40,Landes,55420.0,16.74,31.939999999999998
418,5.0,Sixth Sense,W48 | FR 58,Bon état,,Blainville-sur-l'Eau,Carte bancaire,7,"12/28/2023, 1:36:41 PM",54,Meurthe-et-Moselle,56808.0,11.5,25.669999999999998
419,5.0,Firetrap,W33 | FR 42,Bon état,,Meaux,Carte bancaire,0,"12/29/2023, 1:11:44 PM",77,Seine-et-Marne,126188.0,13.95,32.19
420,8.0,Bershka,W31 | FR 40,Bon état,"Coton, V",Guissény,Carte bancaire,45,"12/28/2023, 11:05:33 AM",29,Finistère,118179.0,16.59,32.06
421,5.0,Kiabi,W40 | FR 50,Très bon état,,La Bazoge,Carte bancaire,4,"12/29/2023, 10:13:26 AM",50,Manche,48914.0,12.72,25.990000000000002
422,6.0,Creeks,W36 | FR 46,Très bon état,,Lattes,Carte bancaire,9,"12/28/2023, 2:42:21 PM",34,Hérault,119495.0,14.02,29.759999999999998
423,10.0,Jack & Jones,W33 | FR 42,Neuf sans étiquette,,Saint-Denis-du-Payré,Carte bancaire,5,"12/29/2023, 12:34:58 PM",85,Vendée,64225.0,11.62,24.23
424,5.0,Pull & Bear,W28 | FR 38,Très bon état,Denim,Saint-Bernard,Carte bancaire,0,"12/29/2023, 11:51:59 AM",1,Ain,51895.0,11.78,25.04
425,8.0,G-Star,W32 | FR 42,Très bon état,,Chamalières,Carte bancaire,20,"12/29/2023, 10:06:25 AM",63,Puy-de-Dôme,92396.0,19.66,39.02
426,6.0,Devred,W33 | FR 42,Très bon état,,Bussières,Carte bancaire,9,"12/28/2023, 10:50:59 AM",21,Côte-d'Or,46366.0,12.59,25.119999999999997
427,6.0,Red Bridge,W30 | FR 40,Très bon état,Coton,Hérouville-Saint-Clair,Carte bancaire,2,"12/29/2023, 12:19:55 PM",14,Calvados,75199.0,14.61,29.09
428,5.0,Celio,W33 | FR 42,Très bon état,,Meaux,Carte bancaire,0,"12/29/2023, 1:13:52 PM",77,Seine-et-Marne,126188.0,13.95,32.19
429,8.0,,W23 | FR 32,Très bon état,,Hombleux,Carte bancaire,0,"12/29/2023, 12:40:10 PM",80,Somme,52514.0,12.78,26.61
430,5.0,Ritchie,W30 | FR 40,Très bon état,"Coton, Polyes",Aveizieux,Carte bancaire,1,"12/29/2023, 12:04:03 PM",42,Loire,60447.0,11.71,24.85
431,5.0,Bonobo,W26 | FR 36,Neuf sans étiquette,,Saint-Laurs,Carte bancaire,7,"12/28/2023, 10:16:46 AM",79,Deux-Sèvres,40743.0,14.860000000000001,30.64
432,5.0,Wrangler,W31 | FR 40,Très bon état,"Coton, Polyes",Aveizieux,Carte bancaire,3,"12/29/2023, 12:09:31 PM",42,Loire,60447.0,11.71,24.85
433,6.0,Jules,W32 | FR 42,Très bon état,,Saint-Nicolas-de-la-Taille,Carte bancaire,1,"12/29/2023, 12:21:02 PM",76,Seine-Maritime,134442.0,15.23,31.92
434,5.0,SMOG,W36 | FR 46,Bon état,,Le Mans,Carte bancaire,5,"12/28/2023, 8:43:05 PM",72,Sarthe,46201.0,11.209999999999999,25.23
435,6.0,Pull & Bear,W32 | FR 42,Très bon état,,Perros-Guirec,Carte bancaire,8,"12/27/2023, 1:35:41 PM",22,Côtes-d'Armor,72743.0,15.37,28.380000000000003
436,5.0,districenter,M,Très bon état,,Saint-Jean-de-Maurienne,Carte bancaire,5,"12/28/2023, 5:26:51 PM",73,Savoie,44566.0,13.84,28.009999999999998
437,5.0,Teddy Smith,S,Bon état,,Olivet,Carte bancaire,4,"12/27/2023, 8:55:42 PM",45,Loiret,55327.0,12.040000000000001,24.99
438,5.0,GovdenimM5888,W34 | FR 44,Très bon état,Coton,Segonzac,Carte bancaire,25,"12/27/2023, 4:55:37 PM",16,Charente,32282.0,12.49,25.59
439,8.0,NEW Stone,W32 | FR 42,Bon état,,Sornay,Carte bancaire,4,"12/27/2023, 4:28:43 PM",70,Haute-Saône,19043.0,10.69,21.29
440,15.0,Levi's,W30 | FR 40,Très bon état,,Paris,Carte bancaire,129,"12/28/2023, 10:13:59 PM",75,Paris,298944.0,21.94,40.16
441,6.0,Kaporal,W32 | FR 42,Très bon état,Coton,Serqueux,Carte bancaire,81,"12/26/2023, 8:43:06 PM",52,Haute-Marne,,,
442,5.0,Zara,M,Neuf sans étiquette,,Carnoux-en-Provence,Carte bancaire,22,"12/26/2023, 9:42:49 PM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
443,5.0,Uniqlo,W30 | FR 40,Neuf sans étiquette,,Levallois-Perret,Carte bancaire,36,"12/29/2023, 1:02:50 AM",92,Hauts-de-Seine,165750.0,16.51,31.63
444,5.0,Zara,W28 | FR 38,Bon état,,Lignan-sur-Orb,Carte bancaire,0,"12/29/2023, 12:22:57 PM",34,Hérault,119495.0,14.02,29.759999999999998
445,6.0,Jack & Jones,W31 | FR 40,Bon état,Coton,Le Thor,Carte bancaire,16,"12/26/2023, 3:22:33 PM",84,Vaucluse,49879.0,12.06,26.27
446,5.0,Bonobo,W38 | FR 48,Très bon état,,Plaisance-du-Touch,Carte bancaire,1,"12/29/2023, 11:48:27 AM",31,Haute-Garonne,167327.0,17.84,34.05
447,5.0,Celio,W34 | FR 44,Très bon état,,Mouzon,Carte bancaire,36,"12/26/2023, 10:00:47 PM",8,Ardennes,16083.0,8.6,19.11
448,5.0,Sixth June,W33 | FR 42,Bon état,,Les Pennes-Mirabeau,Carte bancaire,6,"12/27/2023, 10:53:39 AM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
449,5.0,Bonobo,W30 | FR 40,Très bon état,Coton,Saint-Mihiel,Carte bancaire,17,"12/27/2023, 6:34:12 PM",55,Meuse,12362.0,9.15,19.79
450,8.0,Diesel,W34 | FR 44,Bon état,,Bellegarde,Carte bancaire,55,"12/27/2023, 2:20:24 PM",30,Gard,73880.0,13.25,28.74
451,10.0,Levi's,W38 | FR 48,Très bon état,,Le Chambon-Feugerolles,Carte bancaire,24,"12/28/2023, 1:05:01 PM",42,Loire,60447.0,11.71,24.85
452,9.0,Lee Cooper,W34 | FR 44,Très bon état,"Coton, Polyes",Lyon,Carte bancaire,13,"12/28/2023, 4:12:15 PM",69,Rhône,187775.0,15.75,31.479999999999997
453,10.0,Nike,L,Très bon état,,Saint-Jean-Lasseille,Carte bancaire,26,"12/29/2023, 10:06:33 AM",66,Pyrénées-Orientales,40475.0,11.14,23.82
454,5.0,Zara,W31 | FR 40,Très bon état,,Feignies,Carte bancaire,0,"12/29/2023, 12:24:43 PM",59,Nord,232470.0,12.77,29.29
455,5.0,Bonobo,W32 | FR 42,Très bon état,"Coton, Polyes",Fondettes,Carte bancaire,11,"12/28/2023, 6:08:18 PM",37,Indre-et-Loire,70126.0,15.86,31.799999999999997
456,5.0,Jack & Jones,W31 | FR 40,Neuf sans étiquette,,Achicourt,Carte bancaire,10,"12/28/2023, 11:02:03 AM",62,Pas-de-Calais,111504.0,10.17,22.5
457,5.0,,W27 | FR 36,Très bon état,,Châtenay-Malabry,Carte bancaire,4,"12/29/2023, 1:22:42 AM",92,Hauts-de-Seine,165750.0,16.51,31.63
458,5.0,Bershka,W31 | FR 40,Très bon état,,Feignies,Carte bancaire,0,"12/29/2023, 12:20:44 PM",59,Nord,232470.0,12.77,29.29
459,6.0,,W34 | FR 44,Très bon état,,Tourny,Carte bancaire,14,"12/28/2023, 6:19:17 PM",27,Eure,53761.0,12.389999999999999,25.92
460,5.0,Zara,W32 | FR 42,Satisfaisant,,Riantec,Carte bancaire,2,"12/29/2023, 10:43:33 AM",56,Morbihan,82148.0,13.440000000000001,26.09
461,6.0,Zara,W30 | FR 40,Très bon état,,Feignies,Carte bancaire,1,"12/29/2023, 11:39:14 AM",59,Nord,232470.0,12.77,29.29
462,5.0,Leeyo Jeans,W28 | FR 38,Très bon état,,Buigny-Saint-Maclou,Carte bancaire,1,"12/29/2023, 12:51:07 PM",80,Somme,52514.0,12.78,26.61
463,5.0,Casual by Gémo,W38 | FR 48,Neuf sans étiquette,,Fougueyrolles,Carte bancaire,1,"12/29/2023, 11:09:58 AM",24,Dordogne,43986.0,13.77,25.77
464,5.0,Livergy,W32 | FR 42,Très bon état,,Bégadan,Carte bancaire,0,"12/29/2023, 1:21:40 PM",33,Gironde,186435.0,16.01,32.239999999999995
465,5.0,BZB,W31 | FR 40,Très bon état,,Charnoz-sur-Ain,Carte bancaire,28,"12/28/2023, 3:35:01 PM",1,Ain,51895.0,11.78,25.04
466,10.0,Redskins,W33 | FR 42,Neuf avec étiquette,,Arles,Carte bancaire,3,"12/29/2023, 12:27:06 PM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
467,5.0,Pull & Bear,W26 | FR 36,Très bon état,,Cabriès,Carte bancaire,124,"12/28/2023, 6:55:30 PM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
468,5.0,Openfield,W36 | FR 46,Très bon état,,Seichamps,Carte bancaire,129,"12/28/2023, 6:50:32 AM",54,Meurthe-et-Moselle,56808.0,11.5,25.669999999999998
469,5.0,Pull & Bear,W27 | FR 36,Neuf sans étiquette,,Paris,Carte bancaire,0,"12/29/2023, 1:03:43 PM",75,Paris,298944.0,21.94,40.16
470,5.0,Kaporal,W30 | FR 40,Très bon état,,Meaux,Carte bancaire,0,"12/29/2023, 1:16:04 PM",77,Seine-et-Marne,126188.0,13.95,32.19
471,10.0,RAW,W25 | FR 34,Neuf sans étiquette,,Paris,Carte bancaire,0,"12/29/2023, 12:15:38 PM",75,Paris,298944.0,21.94,40.16
472,5.0,John H,W24 | FR 34,Neuf sans étiquette,"Coton, Élasthanne",Villejuif,Carte bancaire,0,"12/29/2023, 11:46:27 AM",94,Val-de-Marne,150867.0,18.8,40.26
473,7.0,ICON,W32 | FR 42,Très bon état,,Berre-l'Étang,Carte bancaire,108,"12/27/2023, 10:16:05 AM",13,Bouches-du-Rhône,188860.0,13.299999999999999,30.729999999999997
474,5.0,Jack & Jones,W32 | FR 42,Très bon état,,Guiler-sur-Goyen,Carte bancaire,125,"12/24/2023, 10:42:36 AM",29,Finistère,118179.0,16.59,32.06
475,5.0,Kiliwatch,W32 | FR 42,Neuf sans étiquette,,Camaret-sur-Aigues,Carte bancaire,0,"12/29/2023, 12:39:04 PM",84,Vaucluse,49879.0,12.06,26.27
476,6.0,,W34 | FR 44,Très bon état,,Lamonzie-Saint-Martin,Carte bancaire,13,"12/28/2023, 5:49:40 PM",24,Dordogne,43986.0,13.77,25.77
477,5.0,Dsquared2,W23 | FR 32,Satisfaisant,,Carpiquet,Carte bancaire,67,"12/28/2023, 2:35:59 PM",14,Calvados,75199.0,14.61,29.09
478,8.0,Quiksilver,W36 | FR 46,Très bon état,Coton,Saint-Germain,Carte bancaire,2,"12/26/2023, 8:31:44 AM",7,Ardèche,24851.0,9.68,18.490000000000002
479,6.0,Pull & Bear,W32 | FR 42,Très bon état,,Pardines,Carte bancaire,43,"12/28/2023, 8:12:34 PM",63,Puy-de-Dôme,92396.0,19.66,39.02
480,5.0,Urban Rags,W30 | FR 40,Très bon état,"Coton, Polyes",Broye-Aubigney-Montseugny,Carte bancaire,19,"12/27/2023, 9:47:41 AM",70,Haute-Saône,19043.0,10.69,21.29
481,5.0,ICON,W23 | FR 32,Très bon état,,Quimper,Carte bancaire,48,"12/28/2023, 4:13:03 PM",29,Finistère,118179.0,16.59,32.06
482,7.0,Wrangler,W30 | FR 40,Neuf sans étiquette,,Drucat,Carte bancaire,12,"12/29/2023, 10:39:34 AM",80,Somme,52514.0,12.78,26.61
483,6.0,Celio,W40 | FR 50,Très bon état,Coton,Saint-Geours-de-Maremne,Carte bancaire,10,"12/28/2023, 2:19:04 PM",40,Landes,55420.0,16.74,31.939999999999998
484,5.0,Sixth Sense,W48 | FR 58,Bon état,,Blainville-sur-l'Eau,Carte bancaire,7,"12/28/2023, 1:36:41 PM",54,Meurthe-et-Moselle,56808.0,11.5,25.669999999999998
485,5.0,Firetrap,W33 | FR 42,Bon état,,Meaux,Carte bancaire,0,"12/29/2023, 1:11:44 PM",77,Seine-et-Marne,126188.0,13.95,32.19
486,8.0,Bershka,W31 | FR 40,Bon état,"Coton, V",Guissény,Carte bancaire,45,"12/28/2023, 11:05:33 AM",29,Finistère,118179.0,16.59,32.06
487,5.0,Kiabi,W40 | FR 50,Très bon état,,La Bazoge,Carte bancaire,4,"12/29/2023, 10:13:26 AM",50,Manche,48914.0,12.72,25.990000000000002
488,6.0,Creeks,W36 | FR 46,Très bon état,,Lattes,Carte bancaire,9,"12/28/2023, 2:42:21 PM",34,Hérault,119495.0,14.02,29.759999999999998
489,10.0,Jack & Jones,W33 | FR 42,Neuf sans étiquette,,Saint-Denis-du-Payré,Carte bancaire,5,"12/29/2023, 12:34:58 PM",85,Vendée,64225.0,11.62,24.23
490,5.0,Pull & Bear,W28 | FR 38,Très bon état,Denim,Saint-Bernard,Carte bancaire,0,"12/29/2023, 11:51:59 AM",1,Ain,51895.0,11.78,25.04
491,8.0,G-Star,W32 | FR 42,Très bon état,,Chamalières,Carte bancaire,20,"12/29/2023, 10:06:25 AM",63,Puy-de-Dôme,92396.0,19.66,39.02
492,6.0,Devred,W33 | FR 42,Très bon état,,Bussières,Carte bancaire,9,"12/28/2023, 10:50:59 AM",21,Côte-d'Or,46366.0,12.59,25.119999999999997
493,10.0,Celio,W33 | FR 42,Neuf avec étiquette,,Meaux,Carte bancaire,1,"12/29/2023, 1:18:58 PM",77,Seine-et-Marne,126188.0,13.95,32.19
494,6.0,Red Bridge,W30 | FR 40,Très bon état,Coton,Hérouville-Saint-Clair,Carte bancaire,2,"12/29/2023, 12:19:55 PM",14,Calvados,75199.0,14.61,29.09
