,Prix (€),Marque,Taille,Etat,Matière,Localisation,Option de paiement,Vues,Date d'ajout
1204,"6,00",Gémo,W32 | FR 42,Neuf sans étiquette,,France,Carte bancaire,3,"12/29/2023, 5:28:34 PM"
1205,"5,00",Kaporal,W32 | FR 42,Bon état,,"Jougne, France",Carte bancaire,9,"12/29/2023, 5:30:38 PM"
1206,"10,00",Tommy Jeans,L,Bon état,,"Rodilhan, France",Carte bancaire,29,"12/29/2023, 12:22:40 PM"
1207,"5,00",Pepe Jeans,M,Bon état,,"Saint-Romain-au-Mont-d’Or, France",Carte bancaire,41,"12/29/2023, 12:56:37 PM"
1208,"5,00",Livergy,W32 | FR 42,Très bon état,,"Bégadan, France",Carte bancaire,8,"12/29/2023, 1:21:40 PM"
1209,"8,00",Zara,W34 | FR 44,Neuf sans étiquette,,"Rety, France",Carte bancaire,35,"12/27/2023, 5:48:17 PM"
1210,"5,00",Ross Carra,W26 | FR 36,Bon état,,"Blainville-sur-l'Eau, France",Carte bancaire,4,"12/28/2023, 1:46:54 PM"
1211,"5,00",H&M,W23 | FR 32,Très bon état,,"Paris, France",Carte bancaire,12,"12/27/2023, 12:27:55 PM"
1212,"9,00",AARHON,W30 | FR 40,Neuf sans étiquette,,"Esternay, France",Carte bancaire,5,"12/29/2023, 1:50:51 PM"
1213,"5,00",Cargo,W32 | FR 42,Très bon état,,France,Carte bancaire,13,"12/27/2023, 9:08:49 PM"
1214,"5,00",SMOG,W36 | FR 46,Bon état,,"Le Mans, France",Carte bancaire,6,"12/28/2023, 8:43:05 PM"
1215,"5,00",Celio,W33 | FR 42,Très bon état,,"Sorgues, France",Carte bancaire,15,"12/26/2023, 4:57:37 PM"
1216,"5,00",Armand Thiery,W30 | FR 40,Neuf sans étiquette,,France,Carte bancaire,6,"12/27/2023, 10:58:10 AM"
1217,"7,00",Siksilk,M,Très bon état,,France,Carte bancaire,13,"12/28/2023, 12:08:23 PM"
1218,"5,00",Jules,W26 | FR 36,Très bon état,Coton,"Saint-Aubin-lès-Elbeuf, France",Carte bancaire,1,"12/29/2023, 3:37:47 PM"
1219,"5,00",Frilivin,W31 | FR 40,Très bon état,,"Falleron, France",Carte bancaire,1,"12/29/2023, 4:51:19 PM"
1220,"5,00",Freeman T. Porter,W29 | FR 38,Très bon état,,"Évry, France",Carte bancaire,5,"12/29/2023, 5:46:21 PM"
1221,"5,00",Celio,W33 | FR 42,Bon état,,"Thorigné-Fouillard, France",Carte bancaire,4,"12/28/2023, 9:53:43 AM"
1222,"10,00",Levi's,W32 | FR 42,Bon état,Coton,"Sète, France",Carte bancaire,49,"12/29/2023, 2:24:14 PM"
1223,"5,00",,W23 | FR 32,Neuf sans étiquette,,"Lumbres, France",Carte bancaire,7,"12/29/2023, 10:27:59 AM"
1224,"8,00",,W23 | FR 32,Très bon état,,"Hombleux, France",Carte bancaire,1,"12/29/2023, 12:40:10 PM"
1225,"5,00",Brave Soul,W30 | FR 40,Neuf avec étiquette,,"Châteauneuf-les-Martigues, France",Carte bancaire,14,"12/29/2023, 11:31:01 AM"
1226,"5,00",G-Star,W25 | FR 34,Bon état,,"Naintré, France",Carte bancaire,14,"12/29/2023, 4:42:45 PM"
1227,"5,00",Kaporal,W28 | FR 38,Très bon état,,"Évry, France",Carte bancaire,1,"12/29/2023, 5:50:17 PM"
1228,"5,00",,W23 | FR 32,Très bon état,,France,Carte bancaire,1,"12/29/2023, 8:33:55 PM"
1229,"5,00",Pull & Bear,W26 | FR 36,Très bon état,,"Cabriès, France",Carte bancaire,204,"12/28/2023, 6:55:30 PM"
1230,"5,00",Bershka,M,Très bon état,,"Ozoir-la-Ferrière, France",Carte bancaire,22,"12/29/2023, 1:56:57 PM"
1231,"5,00",Lee,W32 | FR 42,Très bon état,Coton,"Aveizieux, France",Carte bancaire,48,"12/29/2023, 11:58:58 AM"
1232,"5,00",BZB,W26 | FR 36,Très bon état,Coton,France,Carte bancaire,8,"12/29/2023, 2:59:48 PM"
1233,"5,00",Celio,W36 | FR 46,Très bon état,,France,Carte bancaire,15,"12/29/2023, 10:27:02 AM"
1234,"6,00",,W34 | FR 44,Très bon état,,"Lamonzie-Saint-Martin, France",Carte bancaire,23,"12/28/2023, 5:49:40 PM"
1235,"5,00",Levi's,W29 | FR 38,Bon état,,"Surtainville, France",Carte bancaire,24,"12/29/2023, 2:52:14 PM"
1236,"5,00",Bonobo,W30 | FR 40,Neuf sans étiquette,,"Saint-Laure, France",Carte bancaire,18,"12/29/2023, 11:53:09 AM"
1237,"7,00",Zara,W32 | FR 42,Neuf avec étiquette,,"Mulhouse, France",Carte bancaire,34,"12/29/2023, 6:48:16 PM"
1238,"6,00",Pepe Jeans,W31 | FR 40,Très bon état,,France,Carte bancaire,59,"12/27/2023, 4:47:12 PM"
1239,"5,00",Jules,W30 | FR 40,Très bon état,,"Harnes, France",Carte bancaire,16,"12/29/2023, 8:41:06 AM"
